,raw,raw,raw,raw,raw,raw,dt,dt,dt,dt,dt,dt,env,env,env,env,env,env
,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ,00:BHE,00:BHN,00:BHZ,10:BHE,10:BHN,10:BHZ
Time,,,,,,,,,,,,,,,,,,
2022-09-10 19:19:09.444500+00:00,-25176.0,26609.0,-1473.0,-2302.0,1394.0,2583.0,-426.0,87.0,100.0,-222.0,-224.0,114.0,426.28511585557385,315.902411091358,204.51650300159153,290.30328968167066,296.3241468392341,163.08688890690544
2022-09-10 19:19:09.469500+00:00,-25566.0,26105.0,-1245.0,-2232.0,1208.0,2595.0,-390.0,-504.0,228.0,70.0,-186.0,12.0,490.76674703977244,617.514372302378,402.2553086453096,249.0622412169295,188.9902995746959,118.3891886955899
2022-09-10 19:19:09.494500+00:00,-25636.0,26025.0,-1166.0,-2296.0,1335.0,2684.0,-70.0,-80.0,79.0,-64.0,127.0,89.0,120.08469233559009,117.47481999702461,79.53825075605657,69.74238309665077,154.6997091141415,144.42068180608115
2022-09-10 19:19:09.519500+00:00,-25609.0,26269.0,-968.0,-2411.0,1338.0,2770.0,27.0,244.0,198.0,-115.0,3.0,86.0,95.13323989717442,263.21664081132866,286.64321609508454,160.93476939431082,116.08617488745158,87.10912696153025
2022-09-10 19:19:09.544500+00:00,-25635.0,26380.0,-852.0,-2345.0,1480.0,2703.0,-26.0,111.0,116.0,66.0,142.0,-67.0,106.00628912160508,137.9939612205307,118.87388274974448,67.68554744798428,161.43213228268198,117.88553770501281
2022-09-10 19:19:09.569500+00:00,-25670.0,26395.0,-1110.0,-2537.0,1253.0,2656.0,-35.0,15.0,-258.0,-192.0,-227.0,-47.0,50.06329327294933,129.61995731110753,284.33606876370783,192.83239700147206,241.9448973079063,120.40348832155985
2022-09-10 19:19:09.594500+00:00,-25733.0,25857.0,-1134.0,-2530.0,1115.0,2778.0,-63.0,-538.0,-24.0,7.0,-138.0,122.0,386.22402825303345,538.470983433648,315.56985491857944,66.18912297349165,153.14154672502605,129.4565564195186
2022-09-10 19:19:09.619500+00:00,-25778.0,25867.0,-695.0,-2492.0,1202.0,2845.0,-45.0,10.0,439.0,38.0,87.0,67.0,55.749439459065414,279.61640390601787,439.29754533042103,206.74944578724592,88.59646343581291,101.47413463538378
2022-09-10 19:19:09.644500+00:00,-26030.0,25797.0,-686.0,-2855.0,876.0,2721.0,-252.0,-70.0,9.0,-363.0,-326.0,-124.0,253.92124763398593,166.15354344701768,169.4028728603306,411.3117228250775,354.00047080947974,131.15385367320832
2022-09-10 19:19:09.669500+00:00,-26452.0,25256.0,-1129.0,-2922.0,825.0,2659.0,-422.0,-541.0,-443.0,-67.0,-51.0,-62.0,504.5436882305965,541.1358424647179,520.7120125366804,236.03036527814234,51.081634011974764,222.98953637633613
2022-09-10 19:19:09.694500+00:00,-26649.0,25343.0,-1238.0,-2876.0,855.0,2682.0,-197.0,87.0,-109.0,46.0,30.0,23.0,200.4353594886225,100.74886269002413,111.54072499913802,92.50045044935366,32.80751946327751,133.06138934091035
