,stalta,stalta_end,stalta_end_norm,s1,s2,s3,rs1,rs2,rs3,rs3_inv,rs1_stalta,rs2_stalta,rs3_stalta,rs3_inv_stalta
114,3.6491914,6.524904,3.122785374338851,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
115,3.329944,5.734815,2.621936583274118,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
116,2.8715656,5.264334,2.4869366784525107,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
117,2.9422574,5.138047,2.331442120115286,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
118,2.8344016,4.992535,2.2776254605767057,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
119,2.8361268,4.917714,2.1627797411628955,127.0,102.5625,76.75,-97.875,107.5625,-125.375,-5.3125,-5.375,-5.3125,38.0625,-5.375
120,4.9113865,8.64468,3.4205342313695906,220.75,271.5,270.6875,-146.375,-8.125,-29.6875,-5.375,-5.375,-5.375,228.8125,-5.4375
121,4.7011037,8.319125,3.4745561943350003,220.75,271.5,270.6875,-146.375,-8.125,-29.6875,-5.375,-5.375,-5.375,228.8125,-5.4375
122,3.7184255,6.928767,2.8167251872583434,220.75,271.5,270.6875,-146.375,-8.125,-29.6875,-5.375,-5.375,-5.375,228.8125,-5.4375
123,3.3451524,5.9962635,2.436372726904478,220.75,271.5,270.6875,-146.375,-8.125,-29.6875,-5.375,-5.375,-5.375,228.8125,-5.4375
124,3.0700626,5.4620156,2.220354531524449,220.75,271.5,270.6875,-146.375,-8.125,-29.6875,-5.375,-5.375,-5.375,228.8125,-5.4375
125,2.9399657,5.101198,2.1033915903304137,220.75,271.5,270.6875,-146.375,-8.125,-29.6875,-5.375,-5.375,-5.375,228.8125,-5.4375
126,2.9223182,5.2374268,2.165492960359571,133.9375,73.8125,74.0,134.5625,-133.25,191.5,168.25,-2.4375,-17.5,176.5625,167.25
127,4.3819857,7.779071,2.960774051961559,-5.5625,-16.6875,32.75,-16.0625,-5.5625,-25.0,-5.3125,-5.3125,-5.3125,-68.6875,-5.3125
128,3.7950354,7.0044317,2.6721922482230345,-5.5625,-16.6875,32.75,-16.0625,-5.5625,-25.0,-5.3125,-5.3125,-5.3125,-68.6875,-5.3125
129,3.4650028,6.194549,2.244609572250999,-5.5625,-16.6875,32.75,-16.0625,-5.5625,-25.0,-5.3125,-5.3125,-5.3125,-68.6875,-5.3125
130,3.391351,5.995286,2.29008400776702,-5.5625,-16.6875,32.75,-16.0625,-5.5625,-25.0,-5.3125,-5.3125,-5.3125,-68.6875,-5.3125
131,3.4869668,5.640467,2.156451427406473,-5.5625,-16.6875,32.75,-16.0625,-5.5625,-25.0,-5.3125,-5.3125,-5.3125,-68.6875,-5.3125
132,3.2693825,5.4884295,2.09537962027282,-5.5625,-16.6875,32.75,-16.0625,-5.5625,-25.0,-5.3125,-5.3125,-5.3125,-68.6875,-5.3125
133,3.1047122,5.358298,2.047636897292364,-5.5625,-16.6875,32.75,-16.0625,-5.5625,-25.0,-5.3125,-5.3125,-5.3125,-68.6875,-5.3125
134,3.2129328,5.2863336,2.020741435673844,-5.5625,-16.6875,32.75,-16.0625,-5.5625,-25.0,-5.3125,-5.3125,-5.3125,-68.6875,-5.3125
135,8.847424,18.124231,6.852382641556332,-2.8125,-3.0625,59.0,-4.0625,79.625,-15.1875,-5.3125,-5.3125,-5.375,58.3125,-5.375
136,4.728401,9.184233,3.471118272688687,-2.8125,-3.0625,59.0,-4.0625,79.625,-15.1875,-5.3125,-5.3125,-5.375,58.3125,-5.375
137,4.149979,7.9746876,2.8406313138260444,-2.8125,-3.0625,59.0,-4.0625,79.625,-15.1875,-5.3125,-5.3125,-5.375,58.3125,-5.375
138,4.0306287,7.753781,2.9335078738955147,-2.8125,-3.0625,59.0,-4.0625,79.625,-15.1875,-5.3125,-5.3125,-5.375,58.3125,-5.375
139,3.668765,6.4659386,2.3870537757290147,-2.8125,-3.0625,59.0,-4.0625,79.625,-15.1875,-5.3125,-5.3125,-5.375,58.3125,-5.375
140,3.3537366,5.710199,2.1574550031894435,-2.8125,-3.0625,59.0,-4.0625,79.625,-15.1875,-5.3125,-5.3125,-5.375,58.3125,-5.375
141,3.430256,5.5058923,2.079332686732496,-2.8125,-3.0625,59.0,-4.0625,79.625,-15.1875,-5.3125,-5.3125,-5.375,58.3125,-5.375
142,3.447506,5.4316154,2.028452124533855,-2.8125,-3.0625,59.0,-4.0625,79.625,-15.1875,-5.3125,-5.3125,-5.375,58.3125,-5.375
143,5.3046947,9.821511,3.41473481861155,-5.3125,69.1875,239.6875,93.5625,-5.3125,147.875,-5.3125,-5.3125,-5.3125,9.0,-5.375
144,4.6091623,7.8775806,2.755671089504861,-5.3125,69.1875,239.6875,93.5625,-5.3125,147.875,-5.3125,-5.3125,-5.3125,9.0,-5.375
145,4.5519104,7.218856,2.5640492051920267,-5.3125,69.1875,239.6875,93.5625,-5.3125,147.875,-5.3125,-5.3125,-5.3125,9.0,-5.375
146,4.1105337,7.4518642,2.685426949988328,-3.9375,-96.9375,-142.3125,-141.9375,-202.75,-163.0625,-5.3125,-5.3125,-5.3125,11.1875,-5.3125
147,4.1289525,7.1098046,2.655356815895651,-3.9375,-96.9375,-142.3125,-141.9375,-202.75,-163.0625,-5.3125,-5.3125,-5.3125,11.1875,-5.3125
148,3.9129703,7.420947,3.896529494321398,-300.0,-97.875,-300.0,-5.3125,-97.875,80.0625,-5.375,-5.375,188.625,70.75,-5.375
149,3.0178242,5.3224573,2.836215288239446,-300.0,-97.875,-300.0,-5.3125,-97.875,80.0625,-5.375,-5.375,188.625,70.75,-5.375
150,2.0987973,5.769595,3.205401325449589,-277.0,-53.8125,64.6875,-43.0625,-163.875,-11.875,-38.875,-220.75,121.125,-11.9375,-44.4375
151,1.5489936,3.9623256,2.206044713615934,-277.0,-53.8125,64.6875,-43.0625,-163.875,-11.875,-38.875,-220.75,121.125,-11.9375,-44.4375
152,1.7176887,3.8750067,2.155955563620225,-277.0,-53.8125,64.6875,-43.0625,-163.875,-11.875,-38.875,-220.75,121.125,-11.9375,-44.4375
153,5.203949,9.472292,5.094429038392198,-130.125,-5.375,-8.3125,17.875,-16.9375,135.6875,-5.375,-5.4375,157.25,10.0,-5.5
154,5.2009087,9.468788,5.0924628419200415,-130.125,-5.375,-8.3125,17.875,-16.9375,135.6875,-5.375,-5.4375,157.25,10.0,-5.5
155,4.3677917,8.257966,4.393834920565218,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
156,4.3787575,8.237275,4.382437374238873,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
157,3.493219,5.9834723,3.1566090136376004,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
158,3.133478,5.4709444,2.975765946779791,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
159,2.8801067,4.806184,2.5547465036318138,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
160,2.4680192,4.6020536,2.4669538337565484,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
161,2.7336278,4.5650263,2.4188644531546992,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
162,2.6522148,4.383858,2.335768594263612,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
163,2.6840513,4.3556166,2.3203822675056864,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
164,2.657708,4.3476605,2.3147058514178034,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
165,2.6547713,4.318393,2.301288763059106,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
166,2.6157377,4.308703,2.3446334753435125,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
167,2.585872,4.209022,2.237596464053005,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
168,2.2946367,3.9343076,2.109229896004026,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
169,2.1959553,3.7125847,2.017390158595336,-189.5,-189.0,-195.75,-118.25,0.1875,-170.8125,-5.3125,-5.3125,-5.3125,-113.75,-5.3125
170,6.845193,13.182069,7.108638899417179,-2.25,23.125,3.125,2.8125,19.125,-24.1875,-5.3125,-5.375,-5.375,28.375,-5.375
